mmsi,name
412209135,JU LONG JIA YA 3
412440781,FUYUANYUYUN992
412420956,XIN HAI 1202
412421012,XINHAI1207
412200083,HAI XING
412421036,XINHAI1227
412209136,XINHAI1259
412440685,FU YUAN YU 8677
412440686,FU YUAN YU 8678
412209142,XINHAI1219
412421076,XINHAI1235
412209139,XINHAI1209
412421035,XINHAI1225
412209143,JULONGJIAYA10
412440697,FU YUAN YU 8661
412331167,LURONGYUANYUYUN 998
412440361,FU YUAN YU 688
412440366,FU YUAN YU 677
412440247,FU YUAN YU 606
412440246,FU YUAN YU 605
412440243,FU YUAN YU 601
412440682,FU YUAN YU 8674
412440754,FU YUAN YU YUN 699
412440241,FU YUAN YU 658
412440424,FU YUAN YU 083
412440482,FU YUAN YU 660
412420954,XIN HAI 1201
412421075,XINHAI1273
412440515,FU YUAN YU YUN 65
412329641,LU RONG YUAN YU YUN168
412421011,XINHAI1208
412440252,FU YUAN YU LENG 15
412440478,FU YUAN YU 081
412440222,FU YUAN YU 666
412440486,FU YUAN YU 664
412440485,FU YUAN YU 663
412440249,FU YUAN YU 608
412440487,FU YUAN YU 665
412440248,FU YUAN YU 607
412440681,FU YUAN YU 8673
412440679,FU YUAN YU 8672
412421009,XINHAI1205
412440481,FU YUAN YU 085
412440244,FU YUAN YU 602
412440251,FU YUAN YU 609
412440687,FU YUAN  YU YUN 995
412440245,FU YUAN YU 603
412421008,XINHAI1206
412549528,XINHAILENG1
412549363,FU YUAN YU8635
412440683,FU YUAN YU 8675
412440698,FU YUAN YU 8662
412549368,FU YUAN YU8640
412549372,FU YUAN YU8643
412549374,FU YUAN YU8645
412549375,FU YUAN YU8646
412549367,FU YUAN YU8639
412440684,FU YUAN YU 8676
412549371,FU YUAN YU8642
412549366,FU YUAN YU8638
412549365,FU YUAN YU8637
412440807,FU YUAN YU 7007
412549511,FU YUAN YU 7011
412549512,FU YUAN YU 7012
412549508,FU YUAN YU 7009
412549507,FU YUAN YU 7008
412549509,FU YUAN YU 7010
412549556,HAI LI
412270002,LONG TENG
273619760,PERSEUS
412549338,DAPINGYUYUN99
412549364,FU YUAN YU8636
412549267,XINHAI1258
412694950,FUYUANYUF86
412549369,FU YUAN YU8641
432927000,KAIYO MARU NO.51
412549217,FUYUANYU8293
412549216,FUYUANYU8292
412549491,FUYUANYU8285
412549497,FUYUANYU8290
412549137,LU RONG YUAN YU 306
412330148,LU RONG YUAN YU YUN 678
412549498,FUYUANYU8291
412549495,FUYUANYU8288
412549373,FU YUAN YU8644
412549487,FUYUANYU8281
412440369,FU YUAN YU 673
412440365,FU YUAN YU 678
412549489,FUYUANYU8283
412549493,FUYUANYU8287
412549488,FUYUANYU8282
412440477,FU YUAN YU 080
412549138,LU RONG YUAN YU 313
412549133,LU RONG YUAN YU 301
412549134,LU RONG YUAN YU 302
412421078,ZHONGJI858
412549136,LU RONG YUAN YU 305
412549135,LU RONG YUAN YU 303
412440423,FU YUAN YU 079
412549496,FUYUANYU8289
412440363,FU YUAN YU 686
412440362,FU YUAN YU 687
412440368,FU YUAN YU 675
412440367,FU YUAN YU 676
412440371,FU YUAN YU 672
412549359,FU YUAN YU 8733
412549357,FU YUAN YU 8731
412549355,FU YUAN YU 8729
412549356,FU YUAN YU 8730
412549358,FU YUAN YU 8732
412440479,FU YUAN YU 082
412549492,FUYUANYU8286
412440359,FU YUAN YU 689
412440483,FU YUAN YU 661
412440242,FU YUAN YU 659
412440484,FU YUAN YU 662
412440223,FU YUAN YU 667
432927000,KAIYO MARU NO.51
431215000,SHOSHIN MARU NO.18
412420978,ZHOUYU903
412549575,ZHOUYU966
412672150,ZHOUYU931
412672140,ZHOUYU932
412549599,ZHOUYU937
412549572,ZHOUYU965
412549676,ZHOUYU953
412549573,ZHOUYU960
412549576,ZHOUYU967
412549569,ZHOUYU961
412549597,ZHOUYU935
412549598,ZHOUYU936
412549571,ZHOUYU962
412421146,ZHOUYU910
412420982,ZHOUYU904
412549577,ZHOUYU968
412421139,ZHOUYU909
412549673,ZHOUYU951
412549671,ZHOUYU939
431701760,KAIYO MARU NO. 30
412549601,ZHOUYU938
