Vessel ID;Flag;Vessel Name;Gear Type;Vessel Type;MMSI;IMO;CallSign;fishing_hours;area;imo
02a290462-23ca-3dbc-14ba-a6857e74c228;TWN;YI SHUNN;DRIFTING_LONGLINES;FISHING;416000947;8552499;BK7408;67.3;East Philippines AOI;8552499
1075112dd-d572-27ac-fe97-cebf67e210e8;TWN;HAI JYI CHENG NO.1;DRIFTING_LONGLINES;FISHING;416002934;8790479;BK7370;36.690000000000005;East Philippines AOI;8790479
1103ba818-8d74-aa4a-a3c0-ff99bcc31a82;TWN;FURE CHYUN NO.12;DRIFTING_LONGLINES;FISHING;416000853;8550843;BK7478;585.0099999999998;East Philippines AOI;8550843
128ffcec6-6258-fb78-c5c4-ca6d2690f7ab;TWN;CHI CHIH CHING NO21;DRIFTING_LONGLINES;FISHING;416000445;8555350;NA;286.5399999999999;East Philippines AOI;8555350
14a1f5989-94ab-194d-08cc-3c0ca528ca0e;TWN;HSIN MING TSAI NO6;DRIFTING_LONGLINES;FISHING;416154700;8549583;BJ4561;45.37;East Philippines AOI;8549583
1ed81c3df-f477-94ef-35a3-8f162a91b76b;JPN;TOKUSHOMARU NO.37;DRIFTING_LONGLINES;FISHING;431010018;8345509;NA;161.20999999999998;East Philippines AOI;8345509
24d6ed943-3c26-349b-2812-c1df70d6b985;TWN;MING TSAIR FA NO 7;DRIFTING_LONGLINES;FISHING;416003066;8553077;BJ4452;195.53000000000003;East Philippines AOI;8553077
2ae891055-5c97-da68-31a2-adf3d23eb517;TWN;LIEN RUEY FA NO.12;DRIFTING_LONGLINES;FISHING;416003187;8549856;BJ5243;9.61;East Philippines AOI;8549856
2f5038b42-271e-f001-c9e9-11898ed9830a;TWN;SHENG CHI HUI NO.7;DRIFTING_LONGLINES;FISHING;416002973;8541036;BK6511;2.4299999999999997;East Philippines AOI;8541036
3fc02ae44-4866-0d87-e308-966ba3c25656;JPN;NO.5YUSEIMARU;DRIFTING_LONGLINES;FISHING;431680580;NA;NA;1.22;East Philippines AOI;NA
43f5a8906-6c6e-97e4-2aa2-6cccb086068b;JPN;KAIOHMARU  NO.11;DRIFTING_LONGLINES;FISHING;431011377;NA;NA;107.95999999999998;East Philippines AOI;NA
46e8e8426-6515-4227-1d0f-41cab018bba3;TWN;SHIN SHENG CHING 99;DRIFTING_LONGLINES;FISHING;416232800;8790613;BJ5026;156.93000000000004;East Philippines AOI;8790613
4701fb193-3afc-1a40-666c-e4523939c2ca;TWN;CHYUAN YEOU TSAIRNO1;DRIFTING_LONGLINES;FISHING;416002526;8557231;BK7481;96.52000000000002;East Philippines AOI;8557231
52bb8db67-7a84-d112-3b97-1ea4f78c82d1;JPN;KINSEIMARU NO.3;DRIFTING_LONGLINES;FISHING;431680630;8345767;NA;11.85;East Philippines AOI;8345767
52da007ca-a8ab-bfdb-1df6-07de00621e87;CHN;SHENLIANCHENG781;DRIFTING_LONGLINES;FISHING;412468636;9821902;BZXV2;22.110000000000003;East Philippines AOI;9821902
5693a6699-9bfd-dc80-929f-f1e9f16bfbb1;JPN;NO.38 KAIENMARU;DRIFTING_LONGLINES;FISHING;431600420;NA;NA;27.18;East Philippines AOI;NA
6d302e3c4-47a3-aebd-4005-594775c5952e;JPN;HIROMARU;DRIFTING_LONGLINES;FISHING;431680124;8345365;NA;6.76;East Philippines AOI;8345365
7975af819-9b90-36d1-8982-2cacf1667569;TWN;MING TSAIR FA NO10;DRIFTING_LONGLINES;FISHING;416076700;8787290;BJ4649;13.450000000000001;East Philippines AOI;8787290
8048b7364-4bbe-450f-e017-30f553dc6a70;TWN;HUNG YI NO.2;DRIFTING_LONGLINES;FISHING;416171600;9225756;BI2551;56.37;East Philippines AOI;9225756
8380ce3d8-8e8e-aafd-d6de-5a1bf64e0bf4;TWN;YI  FENG  NO816;DRIFTING_LONGLINES;FISHING;416002631;8792623;BJ4852;154.31000000000006;East Philippines AOI;8792623
8c04da2ea-a5ce-50ed-758e-9c1e364f10e2;TWN;FUH AN NO1;DRIFTING_LONGLINES;FISHING;416000373;8550831;BK6600;214.35;East Philippines AOI;8550831
92cf7c26f-fa87-d736-99f4-61ac7a46f37c;JPN;NO,88  EIYUUMARU;DRIFTING_LONGLINES;FISHING;431002571;NA;NA;19.95;East Philippines AOI;NA
a3015a96c-ccf5-ca93-c328-73404d52ba67;JPN;NO.33 TOKUSYOUMARU;DRIFTING_LONGLINES;FISHING;431200460;NA;NA;28.79;East Philippines AOI;NA
a90b716e3-3df4-242a-205c-b743101e19b8;JPN;NO.21  TOKUHOUMARU;DRIFTING_LONGLINES;FISHING;431680156;NA;NA;37.83;East Philippines AOI;NA
a9cf96408-853f-b405-82d7-fc6da1577f75;TWN;YI MAN;DRIFTING_LONGLINES;FISHING;416231500;8777879;BJ5017;107.66;East Philippines AOI;8777879
ab5fce247-7622-859d-9f8c-5a1b60497b05;JPN;NO.1 SEIKICHIMARU;DRIFTING_LONGLINES;FISHING;431680790;NA;NA;26.77;East Philippines AOI;NA
b6aa8c3b8-8313-ef71-6a75-962df2dc1631;TWN;SHIN JIANN LIH;DRIFTING_LONGLINES;FISHING;416001774;8551445;BJ4370;637.6299999999999;East Philippines AOI;8551445
c15f24e44-44e6-e34f-4901-089e26d70c10;TWN;CHYUAN LIANG FA NO2;DRIFTING_LONGLINES;FISHING;416000702;8547157;BJ4262;860.2799999999994;East Philippines AOI;8547157
c209de02f-f57f-3036-6500-ce7f6ff0a5fa;JPN;NO.3MIEMARU;DRIFTING_LONGLINES;FISHING;431680230;NA;NA;95.7;East Philippines AOI;NA
c3188b1f2-2e15-5568-ef1a-f44ba21cff0a;TWN;CHYUANYEOUTSAIRON.16;DRIFTING_LONGLINES;FISHING;416002415;8550257;BJ4375;612.6099999999997;East Philippines AOI;8550257
c860407a1-195a-b412-e876-0d2c84b2571d;JPN;NO.58 AYAMARU;DRIFTING_LONGLINES;FISHING;431301296;NA;NA;47.51;East Philippines AOI;NA
d1963e90b-b4fa-14e1-8e1e-a90d30eada0a;TWN;YI FENG NO682;DRIFTING_LONGLINES;FISHING;416218500;8793586;BJ4945;162.75999999999996;East Philippines AOI;8793586
d422c09ac-cd4d-e6ed-c1f7-22e5d36b6ae4;TWN;JIN LIANG MAN NO18;DRIFTING_LONGLINES;FISHING;416004389;8540056;BK6623;875.4099999999994;East Philippines AOI;8540056
ddcfb6136-660b-ac92-903b-8fcd6e1e8a77;TWN;CHAO FA NO.368;DRIFTING_LONGLINES;FISHING;416004442;NA;BG3843;24.68;East Philippines AOI;NA
e22f97cf4-45b7-e7e9-69d2-7b5fe952455e;TWN;CHIN MAN FA NO 12;DRIFTING_LONGLINES;FISHING;416002343;8551641;BJ4431;23.349999999999994;East Philippines AOI;8551641
e378949c9-9ff0-2bfb-3904-cfe4febdc316;JPN;TOSHIMAMARU NO.21;DRIFTING_LONGLINES;FISHING;431680680;8345860;NA;203.42000000000002;East Philippines AOI;8345860
e80df4101-1d1e-bc31-5dba-4a31d0744237;TWN;YI MAN NO.8;DRIFTING_LONGLINES;FISHING;416004158;8788878;BJ5041;165.60999999999996;East Philippines AOI;8788878
ebd594847-7f2c-8856-13de-015f112d85cd;TWN;YU SHUN NO.668;DRIFTING_LONGLINES;FISHING;416237800;8777908;BJ5088;79.11;East Philippines AOI;8777908
ef49b1605-50b3-38b4-d564-49a318ad5eb9;TWN;CHIN DONG FA NO.6;DRIFTING_LONGLINES;FISHING;416001007;8550817;BJ4345;19.490000000000002;East Philippines AOI;8550817
f55782f95-5912-06c9-5e31-56e6ea018899;JPN;IROHAMARU NO.51;DRIFTING_LONGLINES;FISHING;431500880;8345858;NA;98.29;East Philippines AOI;8345858
008ce4a3b-b4ec-72be-9d85-6c8e31592855;TWN;YUAN LONG;DRIFTING_LONGLINES;FISHING;416009187;9990222;NA;12.79;HSP 1 AOI;9990222
0d0bc1fef-f6ea-1f09-97c7-a908b0cf01fe;IDN;KM LAUT SUBUR 7;INCONCLUSIVE;FISHING;525900848;8527224;NA;118.92999999999998;HSP 1 AOI;8527224
16d9e2924-4936-fe33-2fad-bb58e94be993;JPN;FUKUICHIMARU NO88;TUNA_PURSE_SEINES;FISHING;431635000;9890721;NA;11.33;HSP 1 AOI;9890721
2488e22ce-e59b-fd41-b618-f200084fb255;IDN;KM BINTANG MUTIARA;INCONCLUSIVE;FISHING;525700988;8561622;NA;185.24;HSP 1 AOI;8561622
26820cae7-7e41-6ebe-0cc9-17170d562ec4;TWN;SHIN SHENG CHING NO1;DRIFTING_LONGLINES;FISHING;416000754;8543113;NA;185.26999999999998;HSP 1 AOI;8543113
2f5038b42-271e-f001-c9e9-11898ed9830a;TWN;SHENG CHI HUI NO.7;DRIFTING_LONGLINES;FISHING;416002973;8541036;NA;569.9300000000005;HSP 1 AOI;8541036
3f8c39f8e-e559-9579-12d9-fd64e704de49;TWN;SHENG FU JIN;INCONCLUSIVE;FISHING;416002633;8555568;NA;507.85;HSP 1 AOI;8555568
46e8e8426-6515-4227-1d0f-41cab018bba3;TWN;SHIN SHENG CHING 99;DRIFTING_LONGLINES;FISHING;416232800;8790613;NA;97.51999999999998;HSP 1 AOI;8790613
533f354df-fe16-a155-a299-c4578a05c0d4;IDN;KM ORCA;INCONCLUSIVE;FISHING;525900560;8570996;NA;190.37;HSP 1 AOI;8570996
64bcc8067-723c-0acf-fa3b-30475137d69e;ALB;08106;DRIFTING_LONGLINES;FISHING;201708106;NA;NA;827.8599999999997;HSP 1 AOI;NA
7422f3d54-4ee7-5f91-f88a-5ddae8a353f3;TWN;SHUN WUN FA NO168;DRIFTING_LONGLINES;FISHING;416003677;8530776;NA;987.92;HSP 1 AOI;8530776
75f8c0fec-c7f0-de39-e22d-7bdaab139ca7;IDN;BANDAR ANGKUTJAYA II;FISHING;FISHING;525201323;NA;NA;0.05;HSP 1 AOI;NA
7d0f917c1-1245-497a-4a55-17b24f84d439;TWN;JIN FU SHIANG NO.36;DRIFTING_LONGLINES;FISHING;416003561;8782903;NA;220.63;HSP 1 AOI;8782903
8380ce3d8-8e8e-aafd-d6de-5a1bf64e0bf4;TWN;YI  FENG  NO816;DRIFTING_LONGLINES;FISHING;416002631;8792623;NA;151.29000000000002;HSP 1 AOI;8792623
87c3970d6-6f5e-04dd-2b1b-46147fe01371;TWN;MING TSAIR FA NO.60;DRIFTING_LONGLINES;FISHING;416002232;8787276;NA;470.3399999999999;HSP 1 AOI;8787276
9331700aa-af5c-5d88-1f61-f5b083eb8549;TWN;JIN CHUAN YI;DRIFTING_LONGLINES;FISHING;416001567;8535491;NA;336.84999999999985;HSP 1 AOI;8535491
a0050baca-a3a9-0ac3-856f-26015b6c5e59;TWN;KAI SHENG;DRIFTING_LONGLINES;FISHING;416003814;8777776;NA;43.67999999999999;HSP 1 AOI;8777776
a89a0e90c-c7ef-039f-cf22-5f268c2d77ff;TWN;YU SHENG FUN;DRIFTING_LONGLINES;FISHING;416000699;NA;NA;395.99000000000024;HSP 1 AOI;NA
a9cf96408-853f-b405-82d7-fc6da1577f75;TWN;YI MAN;DRIFTING_LONGLINES;FISHING;416231500;8777879;NA;94.40000000000002;HSP 1 AOI;8777879
a9ea0f371-1316-2a83-95c1-a2967690fa19;NA;160000020;DRIFTING_LONGLINES;FISHING;160000020;NA;NA;179.45000000000002;HSP 1 AOI;NA
b3b98676f-f90f-3d1c-248f-5213cc8b3cb3;TWN;YI FENG NO681;DRIFTING_LONGLINES;FISHING;416196500;8530893;NA;141.3;HSP 1 AOI;8530893
b6db71298-8045-5f88-9049-494dabf89b6e;TWN;MAAN FONG NO268;DRIFTING_LONGLINES;FISHING;416000469;8790455;NA;152.17000000000002;HSP 1 AOI;8790455
b7490513d-df7c-b7eb-1389-d71eb53ed849;TWN;JIN HUNG CHENG;DRIFTING_LONGLINES;FISHING;416004098;8550635;NA;19.77;HSP 1 AOI;8550635
ce38cf109-9ed8-acca-ed99-0ef5886411d0;TWN;SHENQ JYI FA 13;DRIFTING_LONGLINES;FISHING;416002491;8540795;NA;374.78000000000014;HSP 1 AOI;8540795
d73b8df5d-d008-b565-2abe-41c8784bcfd7;TWN;YI MAN NO.3;DRIFTING_LONGLINES;FISHING;416004299;8778380;NA;25.56;HSP 1 AOI;8778380
d7e7ef787-7665-c4c0-2952-d4823ac06096;TWN;MAN YING CAI NO.6;DRIFTING_LONGLINES;FISHING;416003793;8547212;NA;5.659999999999999;HSP 1 AOI;8547212
dab4ffdc2-2c57-06fe-d30c-8b07b40651bc;IDN;SURYA JAYA INDAH 12;DRIFTING_LONGLINES;FISHING;525601928;NA;NA;24.76;HSP 1 AOI;NA
dcf36dd93-3e5c-3d37-9c65-9ddbe26d2ca5;TWN;SHENG CHI HUI NO2;DRIFTING_LONGLINES;FISHING;416002989;8541024;NA;668.8599999999997;HSP 1 AOI;8541024
e03ad9887-74bc-d400-e8ba-574a5b992284;TWN;JIN CHING FA;INCONCLUSIVE;FISHING;416000447;8551639;NA;277.52000000000004;HSP 1 AOI;8551639
e22f97cf4-45b7-e7e9-69d2-7b5fe952455e;TWN;CHIN MAN FA NO 12;DRIFTING_LONGLINES;FISHING;416002343;8551641;NA;297.42999999999984;HSP 1 AOI;8551641
e69dcc680-008f-222a-76f9-49f6acfc65ff;TWN;YI FENG NO826;DRIFTING_LONGLINES;FISHING;416001943;8787939;NA;19.509999999999998;HSP 1 AOI;8787939
e80df4101-1d1e-bc31-5dba-4a31d0744237;TWN;YI MAN NO.8;DRIFTING_LONGLINES;FISHING;416004158;8788878;NA;144.87000000000003;HSP 1 AOI;8788878
ef49b1605-50b3-38b4-d564-49a318ad5eb9;TWN;CHIN DONG FA NO.6;DRIFTING_LONGLINES;FISHING;416001007;8550817;NA;65.77000000000001;HSP 1 AOI;8550817
f2261d200-09dc-22cf-c9c1-a7e58d6d2f37;TWN;MAANHSINGCHYUU NO36;DRIFTING_LONGLINES;FISHING;416002492;8530714;NA;583.6599999999999;HSP 1 AOI;8530714
f53ada70f-fe48-f033-02d7-ba5862338c05;TWN;SHENG JYI HUEI;DRIFTING_LONGLINES;FISHING;416003466;8541177;NA;623.9200000000003;HSP 1 AOI;8541177
